Table ID,Sourcing_competitor,Common_sources,Restaurant_name,Tags,Average basket value,Country,City_code,Address,Latitude,Longitude,Phone_number,Rating,Number_of_reviews,Website,URL,Postal_code,Opening_hours,Place ID,user_ratings_total,google_grade,competitor_grade1(%),competitor_grade2(%),competitor_grade3(%)
124831,sourcing_tripadvisor,sourcing_tripadvisor,Slatki Centar,"Cafe, European",,Croatia,KAR,Dr. Vlatka Maceka 6,45.492321,15.54909,+385 47 613 801,4.5,16,,,,Sun|8:00 AM - 10:00 PM|Mon - Thu|7:30 AM - 10:00 PM|Fri - Sat|7:30 AM - 11:00 PM,ChIJv8C9cC48ZEcRh4G-BfR31MU,383,4.6,-,-,-
124832,sourcing_tripadvisor,sourcing_tripadvisor,Scooby-Doo,"Pizza, Fast Food, Croatian, European",,Croatia,KAR,Stjepana Radica 28,45.49157,15.55559,+385 47 613 842,4.5,13,,,,,ChIJN6IKZDE8ZEcRq5tTx0bUBdI,322,4.2,-,-,-
124833,sourcing_tripadvisor,sourcing_tripadvisor,GP Snack Bar,Fast Food,,Croatia,KAR,Celestina Medovica 1A,45.480484,15.545051,+385 47 414 001,5,7,,,,,ChIJYxZU1M89ZEcRcsk6tPxjH2I,802,4.7,-,-,-
124834,sourcing_tripadvisor,sourcing_tripadvisor,Holy Donut,European,,Croatia,KAR,J. Krizanica 22,45.491959,15.55407,,5,6,,,,,ChIJk9l2CTE8ZEcRu7NjcAwTrCM,112,4.8,-,-,-
124835,sourcing_tripadvisor,sourcing_tripadvisor,Bistro Palma,"European, Croatian",,Croatia,KAR,Matka Laginje 1,45.50103,15.548516,+385 47 645 320,4.5,15,,,,Sun - Sat|7:00 AM - 10:00 PM,ChIJDSUKvCY8ZEcRFZegr7C5AmU,421,4.3,-,-,-
124836,sourcing_tripadvisor,sourcing_tripadvisor,Papa's Bar,,,Croatia,KAR,Shetalishte Dr.Franje Tudjmana 1,45.49379,15.552255,+385 47 615 330,4.5,8,,,,,ChIJ8ZjhKS48ZEcRnB2lk5e51CA,1235,4.5,-,-,-
124837,sourcing_tripadvisor,sourcing_tripadvisor,Restoran Vami,Barbecue,,Croatia,KAR,Andrije Hebranga 17,45.48019,15.543266,+385 47 612 500,4,15,,,,,ChIJq3XsPtA9ZEcRqZNIz2gqmdw,573,4.5,-,-,-
124838,sourcing_tripadvisor,sourcing_tripadvisor,Mamma Mia,Pizza,,Croatia,KAR,Maksimilijana Vrhovca 23,45.48,15.5492,,5,4,,,,,ChIJc7ZCHs89ZEcRxHqZ0fLU1UY,374,4.5,-,-,-
124839,sourcing_tripadvisor,sourcing_tripadvisor,Pizzeria Mona Lisa,Pizza,,Croatia,KAR,Stjepana Radica 20,45.491898,15.555572,+385 47 601 660,3.5,22,,,,Mon - Fri|9:00 AM - 11:00 PM|Sat - Sun|12:00 PM - 11:00 PM,ChIJU1Lo4TM8ZEcRZsb38tqXqoM,790,4.4,-,-,-
124840,sourcing_tripadvisor,sourcing_tripadvisor,Restoran TEMPO,"European, Croatian",,Croatia,KAR,Obala Vladimira Mazhuranica 1,45.494598,15.55097,,4.5,7,,,,,ChIJzfkHyi88ZEcRfbjZfmeChdo,204,4.2,-,-,-
124841,sourcing_tripadvisor,sourcing_tripadvisor,Cohiba,,,Croatia,KAR,Shetalishte Dr.Franje Tudjmana 4,45.493431,15.551622,+385 91 641 5230,5,3,,,,,ChIJZS0iJC48ZEcRrW0SGcXtmzE,282,4.6,-,-,-
124842,sourcing_tripadvisor,sourcing_tripadvisor,Pod Svarcom Tavern,,,Croatia,KAR,Senjska Ulica 63,45.479599,15.546415,+385 47 431 120,4,12,,,,,ChIJo9gfys89ZEcRY9qyrPRoBCA,555,4.3,-,-,-
124843,sourcing_tripadvisor,sourcing_tripadvisor,Pekara Monika,,,Croatia,KAR,Turan 59,45.46262,15.56853,+385 47 641 897,4.5,3,,,,Sun - Sat|7:00 AM - 10:00 PM,ChIJaRyGKy48ZEcRHCpPlYhz9O4,107,4.6,-,-,-
124844,sourcing_tripadvisor,sourcing_tripadvisor,Promenada,,,Croatia,KAR,Shetalishte Dr.Franje Tudjmana 10,45.49239,15.55029,+385 47 600 240,5,3,,,,,ChIJ2TXODi48ZEcRqfUrd3MBKao,153,4.5,-,-,-
124845,sourcing_tripadvisor,sourcing_tripadvisor,Caffe i Bistro Kupa,Italian,,Croatia,KAR,Obala Franje Rackog 4,45.497478,15.5519,+385 47 648 677,4,8,,,,Sun|8:00 AM - 10:30 PM|Mon - Wed|6:30 AM - 11:00 PM|Thu|6:30 AM - 11:30 PM|Fri|6:30 AM - 12:00 AM|Sat|8:00 AM - 12:00 AM,ChIJo7IZbiU8ZEcRSBzEkBibglU,327,4.6,-,-,-
124846,sourcing_tripadvisor,sourcing_tripadvisor,Gradska Straza,,,Croatia,KAR,Stjepana Radica 32,45.49142800000001,15.555759,+385 47 601 420,5,2,,,,,ChIJp5PXXzE8ZEcRoKtuDpLt4q4,155,4.4,-,-,-
124847,sourcing_tripadvisor,sourcing_tripadvisor,Cevabdzinica Behar,"European, Grill, Croatian",,Croatia,KAR,Domobranska Ulica 31,45.48722100000001,15.55596,+385 47 550 766,5,2,,,,,ChIJ7XjFLy49ZEcRTN2OmiYYxTQ,407,4.7,-,-,-
124848,sourcing_tripadvisor,sourcing_tripadvisor,Kristal,"European, Croatian",,Croatia,KAR,Matka Laginje 1,45.50108,15.5478,+385 47 645 888,5,7,,,,Mon - Sat|9:00 AM - 5:00 PM,ChIJ9ZYuwSY8ZEcRYI8cON1guOg,254,4.2,-,-,-
124849,sourcing_tripadvisor,sourcing_tripadvisor,Restoran Ruzica,,,Croatia,KAR,Zagrebachka 17,45.518532,15.54484,+385 47 637 665,5,2,,,,,ChIJFW3tuqHWZUcRj16QIwCyWuY,0,0,-,-,-
124850,sourcing_tripadvisor,sourcing_tripadvisor,Restoran Pod Starim Krovovima,"European, Croatian",,Croatia,KAR,Stjepana Radica 8,45.492989,15.55396,+385 47 615 420,4.5,3,,,,,ChIJExb2uzE8ZEcRxTh-d4KlQcg,26,3.9,-,-,-
124851,sourcing_tripadvisor,sourcing_tripadvisor,Dobra - Hotel Korana Srakovcic,"Seafood, European, Soups, Croatian",,Croatia,KAR,Perivoj Josipa Vrbanica 8,45.488647,15.561731,+385 47 609 090,3.5,13,,,,Wed|12:00 AM - 11:00 AM|Thu - Tue|12:00 AM - 11:00 PM,ChIJUdELkDU8ZEcRIHy1nPHYdQs,472,4.4,-,-,-
124852,sourcing_tripadvisor,sourcing_tripadvisor,Tornado,"European, Croatian",,Croatia,KAR,Antuna Mihanovica 9,45.50729,15.54675,+385 47 646 200,4.5,2,,,,,ChIJDbrp9x88ZEcRaXtdJWcDndw,680,4.3,-,-,-
124853,sourcing_tripadvisor,sourcing_tripadvisor,Hollywood Cafe,,,Croatia,KAR,Trg Alojzije Stepinca,45.492496,15.548886,+385 47 611 555,4.5,3,,,,,ChIJpbyEeS48ZEcRivNniuVPoTI,577,4.7,-,-,-
124854,sourcing_tripadvisor,sourcing_tripadvisor,Choco Caffe Bar,"Italian, American, European, Middle Eastern, Eastern European, Croatian",,Croatia,KAR,Luscic 8B,45.483921,15.54496,+385 47 416 423,4.5,3,,,,Sun|8:00 AM - 10:00 PM|Mon - Thu|7:00 AM - 10:00 PM|Fri - Sat|7:00 AM - 11:00 PM,ChIJ19j7ItI9ZEcRW5BC5hllJ8k,426,4.6,-,-,-
124855,sourcing_tripadvisor,sourcing_tripadvisor,Kvaka,"Croatian, European",,Croatia,KAR,Zhorovica 3,45.495106,15.536225,+385 47 416 616,3.5,18,,,,,ChIJJYO6tYM-ZEcRKRXf2890s_k,665,4.3,-,-,-
124856,sourcing_tripadvisor,sourcing_tripadvisor,Restoran & Pizzeria Rustique,,,Croatia,KAR,Dreznik 43,45.49992,15.53468,+385 47 417 290,3.5,4,,,,Sun - Sat|9:00 AM - 11:00 PM,ChIJh9rSRps-ZEcR29qQQsLi1l0,526,4.4,-,-,-
124857,sourcing_tripadvisor,sourcing_tripadvisor,Chandra,,,Croatia,KAR,Jurja Haulika 22,45.492889,15.55796,+385 91 349 0732,5,1,,,,Mon - Sat|8:00 AM - 2:00 PM,ChIJ2Y8se989ZEcRVo2y-FOiLto,-,-,-,-,-
124858,sourcing_tripadvisor,sourcing_tripadvisor,Green Bar,,,Croatia,KAR,Tadije Smichiklasa 16,45.48679,15.54953,+385 47 417 235,5,1,,,,,ChIJfR7aMs09ZEcR-O13RpxDNc4,101,4.3,-,-,-
124859,sourcing_tripadvisor,sourcing_tripadvisor,Antonio,,,Croatia,KAR,Sebetica 10,45.494225,15.551507,+385 47 611 600,5,1,,,,,ChIJHxzMMi48ZEcR1fhezY9lE1o,215,4.6,-,-,-
124860,sourcing_tripadvisor,sourcing_tripadvisor,The River Pub,"European, Croatian",,Croatia,KAR,Petra Preradovica 10,45.494267,15.55006,+385 98 364 633,5,1,,,,,ChIJpfOBwy88ZEcRc4T4nRjln0A,28,4,-,-,-
124861,sourcing_tripadvisor,sourcing_tripadvisor,Zrinski,,,Croatia,KAR,Marina Drzhica 4,45.485352,15.54316,+385 47 416 185,3.5,2,,,,,ChIJdctYpNM9ZEcRrpqWt0zrapQ,431,4.2,-,-,-
124862,sourcing_tripadvisor,sourcing_tripadvisor,Pizzeria Orca,Italian,,Croatia,KAR,Maksimilijana Vrhovca 1,45.482109,15.55004,+385 47 421 121,4,1,,,,,ChIJ_V59m849ZEcR5irkveuTUsM,422,4.5,-,-,-
124863,sourcing_tripadvisor,sourcing_tripadvisor,Fran,,,Croatia,KAR,Jurja Haulika 2,45.491711,15.555218,+385 47 612 000,4,1,,,,,ChIJsS1IYzE8ZEcRgPdFPWFtoFU,35,4.3,-,-,-
124864,sourcing_tripadvisor,sourcing_tripadvisor,Caffe bar As,"Bar, Pub",,Croatia,KAR,Banija 29,45.498901,15.54959,,3.5,3,,,,Sun - Sat|7:00 AM - 11:00 PM,ChIJHxzMMi48ZEcR1fhezY9lE1o,215,4.6,-,-,-
124865,sourcing_tripadvisor,sourcing_tripadvisor,Catalpa Lounge Bar,,,Croatia,KAR,Stjepana Radica bb,45.49380900000001,15.552931,,3,1,,,,,ChIJrVX90TE8ZEcRR70xBVtL7Z8,367,4.4,-,-,-
124866,sourcing_tripadvisor,sourcing_tripadvisor,Kod Bakija,"International, European, Croatian",,Croatia,KAR,Jelasi Ul 41,45.445,15.58313,+385 47 641 333,3,2,,,,,ChIJL0FHFGI9ZEcR9IPNRXo9nZY,982,4.2,-,-,-
124867,sourcing_tripadvisor,sourcing_tripadvisor,Bistro Caffe Bar KUPA,,,Croatia,KAR,Obala Franje Rachkog 4 Obala Franje Rackog 4,45.497478,15.5519,+385 47 648 677,5,2,,,,Sun|9:00 AM - 10:30 PM|Mon - Thu|8:00 AM - 10:30 PM|Fri - Sat|8:00 AM - 11:00 PM,ChIJo7IZbiU8ZEcRSBzEkBibglU,327,4.6,-,-,-
124868,sourcing_tripadvisor,sourcing_tripadvisor,Lana Korana Restoran,"Pizza, European, Croatian",,Croatia,KAR,Koransko Setaliste 6,45.487251,15.560195,+385 47 600 813,2.5,31,,,,,ChIJfVU1ETU8ZEcReCvuiPPjpgk,1972,4.2,-,-,-
124869,sourcing_tripadvisor,sourcing_tripadvisor,Greencek,"European, Croatian",,Croatia,KAR,Tadije Smichiklasa 16,45.48679,15.54953,+385 47 629 020,4,9,,,,,ChIJmdc3T809ZEcRaayg5WT57EE,598,4.2,-,-,-
124870,sourcing_tripadvisor,sourcing_tripadvisor,Astralis,,,Croatia,KAR,Zhumberachka 10,45.501171,15.52441,+385 95 859 5341,,,,,,,ChIJN5zm75E-ZEcRMhiwG-KhFzA,128,4.2,-,-,-
124871,sourcing_tripadvisor,sourcing_tripadvisor,Amadeus,,,Croatia,KAR,Banjavciceva 2,45.492924,15.553849,+385 98 305 071,,,,,,,ChIJ3YJNvjE8ZEcRgBWDxCfXJ58,99,4.6,-,-,-
124872,sourcing_tripadvisor,sourcing_tripadvisor,Indeks,,,Croatia,KAR,Pavleka Mishkine 1,45.49453,15.55459,+385 99 815 266,,,,,,,ChIJe3PeRTA8ZEcRBhKkcVDEXPU,76,4.5,-,-,-
124873,sourcing_tripadvisor,sourcing_tripadvisor,Shadow Lounge Bar,,,Croatia,KAR,Shetalishte Dr.Franje Tudjmana 10,45.492256,15.550298,+385 47 601 223,,,,,,,-,-,-,-,-,-
124874,sourcing_tripadvisor,sourcing_tripadvisor,Konig,,,Croatia,KAR,Shetalishte Dr.Franje Tudjmana 11,45.492275,15.549953,,,,,,,,ChIJ0cIPSG49ZEcRNx_7p9bfBRc,76,4.9,-,-,-
124875,sourcing_tripadvisor,sourcing_tripadvisor,Pub D,Pub,,Croatia,KAR,Sebeticeva 3,45.494553,15.551359,+385 95 369 5868,,,,,,,ChIJGYOmyy88ZEcRfElgbdE-Lno,110,4.6,-,-,-
124876,sourcing_tripadvisor,sourcing_tripadvisor,Ray Bar,"Bar, Cafe, Pub",,Croatia,KAR,Ivana Gundulica 2,45.494362,15.55174,+385 47 615 415,,,,,,,-,-,-,-,-,-
124877,sourcing_tripadvisor,sourcing_tripadvisor,Kazalisna kavana,"Cafe, Pub",,Croatia,KAR,Domobranska 1,45.082279,15.36416,+385 47 601 512,,,,,,,ChIJ2z9BKRs9ZEcRWrlGnhaLfas,49,4.4,-,-,-
124878,sourcing_tripadvisor,sourcing_tripadvisor,Karlo,,,Croatia,KAR,Trg Josipa Jurja Strossmayera 2,45.494293,15.554278,+385 97 752 7566,,,,,,,ChIJE578x500ZEcRAF6wdgGMXIs,230,4.8,-,-,-
124879,sourcing_tripadvisor,sourcing_tripadvisor,Restaurant Panorama,"Barbecue, European, Grill, Eastern European, Croatian, Central European",,Croatia,KAR,Trg hrvatskih branitelja 4,45.52877,15.85724,+385 47 411 374,,,,,,,ChIJnwhuFi08ZEcRC00Q8EmVbJQ,86,4.1,-,-,-
124880,sourcing_tripadvisor,sourcing_tripadvisor,Croata Sokol,,,Croatia,KAR,Kralja Tomislava 9,45.491169,15.5525,+385 47 601 779,,,,,,,ChIJf9_tITI8ZEcRnNicGSgMygQ,241,4.4,-,-,-
124881,sourcing_tripadvisor,sourcing_tripadvisor,American Bar Dollar,"American, Barbecue, Bar",,Croatia,OSI,Zupanijska Ulica 5,45.560333,18.676554,+385 31 284 625,4,143,,,,Sun - Sat|9:00 AM - 12:00 AM,ChIJSaHX6qfnXEcRlZxVSfRCpMA,1509,4.4,-,-,-
124882,sourcing_tripadvisor,sourcing_tripadvisor,bijelo plavi,"European, Croatian, Central European, Eastern European",,Croatia,OSI,Martina Divalta,45.548889,18.695278,+385 31 571 000,4.5,39,,,,,ChIJgbZSgLXnXEcRXnjN-6PDHeU,694,4.6,-,-,-
124883,sourcing_tripadvisor,sourcing_tripadvisor,Caffe & Steak House Domin,"Steakhouse, Pizza, European, Grill, Croatian",,Croatia,OSI,St. Svete Ane 84,45.555008,18.672049,+385 95 889 1068,5,4,,,,Mon - Sat|11:00 AM - 11:00 PM,ChIJUQjKYdXoXEcRJTi0c15ziLY,319,4.1,-,-,-
124884,sourcing_tripadvisor,sourcing_tripadvisor,City Food,Street Food,,Croatia,OSI,Zadarska 30,45.557838,18.673389,+385 31 320 315,5,1,,,,,ChIJU4G6AZvnXEcRX2RZUaMC5Ys,98,4.6,-,-,-
124885,sourcing_tripadvisor,sourcing_tripadvisor,Club Lounge Bar,Cafe,,Croatia,OSI,Kapucinska Ulica 23,45.561039,18.68037,+385 31 210 933,,,,,,,ChIJg9ry9qbnXEcRg-aI2YohucA,339,4.4,-,-,-
124886,sourcing_tripadvisor,sourcing_tripadvisor,Corner Restoran,"Barbecue, European, Croatian",,Croatia,OSI,Velebitska BB,45.545555,18.728193,+385 31 333 584,4,18,,,,,ChIJT3Yv_3voXEcRct3D5QWcCNQ,1139,4.5,-,-,-
124887,sourcing_tripadvisor,sourcing_tripadvisor,Deram Carda,"European, Croatian, Hungarian",,Croatia,OSI,Ramska ulica 16,45.54737100000001,18.675119,+385 97 792 7441,5,1,,,,,ChIJHVRqC1PmXEcR5fzAFM_Je1Q,270,4.5,-,-,-
124888,sourcing_tripadvisor,sourcing_tripadvisor,El Paso,,,Croatia,OSI,Shetalishte Kardinala Franje Shepera 8D,45.56263,18.679203,+385 98 205 077,4.5,65,,,,,ChIJo5r2iqPnXEcRaU2OEFCrn2A,102,4.5,-,-,-
124889,sourcing_tripadvisor,sourcing_tripadvisor,Fabrique,,,Croatia,OSI,Trg Slobode vijenac jakova gotovca osijek,45.559292,18.678459,+385 95 203 0444,3.5,6,,,,Sun - Sat|9:00 AM - 11:00 PM,ChIJhwXmpajnXEcReCYsx0KF-qA,510,4.7,-,-,-
124890,sourcing_tripadvisor,sourcing_tripadvisor,Fruitee,,,Croatia,OSI,"Avenue mall, Shopping centre Jankomir 33",,,+385 99 757 1110,4.5,6,,,,,-,-,-,-,-,-
124891,sourcing_tripadvisor,sourcing_tripadvisor,Galija,"European, Croatian",,Croatia,OSI,Gornjodravska obala,45.56424699999999,18.676067,+385 31 283 500,4,45,,,,Sun - Sat|10:00 AM - 11:00 PM,ChIJ9xBnHwrnXEcRhcguy-mo9G8,849,4.4,-,-,-
124892,sourcing_tripadvisor,sourcing_tripadvisor,Gastro Croatia,"Italian, Seafood, Mediterranean, European, Fusion, Croatian",,Croatia,OSI,Sunchana 8,45.557598,18.68162,+385 91 244 8822,,,,,,,ChIJf0GXTXbnXEcRrJ093cx33l8,-,-,-,-,-
124893,sourcing_tripadvisor,sourcing_tripadvisor,Gold by Waldinger,"Cafe, European",,Croatia,OSI,Zhupanijska Ulica 15,45.55851,18.676035,+385 31 623 057,5,14,,,,Sun - Thu|8:00 AM - 11:00 PM|Fri - Sat|8:00 AM - 12:00 PM,ChIJI_PibajnXEcRdlROLGV0ddg,585,4.6,-,-,-
124894,sourcing_tripadvisor,sourcing_tripadvisor,Hokus Okus - Magic Taste,"Fast Food, Street Food, Croatian, European",,Croatia,OSI,Ulica Hrvatske Republike 47,45.55827,18.676405,+385 95 530 6074,4.5,80,,,,Mon - Sat|9:00 AM - 11:00 PM,ChIJ87zkaKjnXEcR3OLatdml7uw,493,4.6,-,-,-
124895,sourcing_tripadvisor,sourcing_tripadvisor,Karaka,"European, Croatian, Central European, International",,Croatia,OSI,Ulica Kneza Trpimira 16,45.549,18.692835,+385 31 203 400,4,57,,,,Sun - Thu|8:00 AM - 11:30 PM|Fri - Sat|8:00 AM - 12:00 AM,ChIJD_XwBrXnXEcRMxqKIjBAdsM,1207,4.4,-,-,-
124896,sourcing_tripadvisor,sourcing_tripadvisor,Kod Baranjca,"European, Croatian",,Croatia,OSI,Biljska Cesta 54,45.565018,18.704023,,5,12,,,,,ChIJp5Gu7JTnXEcRkqPAync8FjE,595,4.7,-,-,-
124897,sourcing_tripadvisor,sourcing_tripadvisor,Kod Javora,"Croatian, European",,Croatia,OSI,Donjodravska Obala 14,45.560749,18.71784,+385 31 506 950,4.5,16,,,,,ChIJdwExSt3nXEcRrGMgIoc7S1w,588,4.5,-,-,-
124898,sourcing_tripadvisor,sourcing_tripadvisor,Kod Ruze,,,Croatia,OSI,J. Kuhaca 25,45.56041,18.694017,+385 31 206 066,4.5,246,,,,Sun|10:00 AM - 4:00 PM|Mon - Wed|10:00 AM - 11:00 PM|Thu - Sat|10:00 AM - 1:00 AM,ChIJwc4bxVDnXEcRh9J2bRTGZ5M,1118,4.6,-,-,-
124899,sourcing_tripadvisor,sourcing_tripadvisor,Lipov hlad,"Croatian, Pizza, European",,Croatia,OSI,Trg Bana Josipa Jelachica 2,45.55627800000001,18.71629,+385 31 508 811,4.5,47,,,,Sun|11:00 AM - 11:00 PM|Mon - Sat|9:00 AM - 11:00 PM,ChIJFWXH2SznXEcRPHXOzJn4RGo,1313,4.5,-,-,-
124900,sourcing_tripadvisor,sourcing_tripadvisor,Lounge Bar Waldinger,"Bar, Pub",,Croatia,OSI,Svilajska Ulica 31,45.556591,18.63521,+385 31 298 143,4,10,,,,,ChIJE9U9R9_mXEcRi0bznpVWKLo,154,4.3,-,-,-
124901,sourcing_tripadvisor,sourcing_tripadvisor,Lumiere,"European, Croatian, Central European, International",,Croatia,OSI,Shetalishte Kardinala Franje Shepera 8,45.561668,18.682358,+385 31 201 088,4.5,112,,,,,ChIJ_y41wabnXEcRWWoUlB0cLls,10,4.3,-,-,-
124902,sourcing_tripadvisor,sourcing_tripadvisor,Madarska Retfala,Barbecue,,Croatia,OSI,Ul. Sandora Petefija 22,45.5662,18.652208,+385 31 302 243,4.5,7,,,,,ChIJpTUJvY3lXEcR3q3CyiAFG-g,462,4.7,-,-,-
124903,sourcing_tripadvisor,sourcing_tripadvisor,Makedonka,,,Croatia,OSI,Trg bana Jelacica 7,45.55611,18.71771,+385 31 503 403,4,1,,,,Sun - Sat|8:00 AM - 11:00 PM,ChIJFWXH2SznXEcR-4QYueSe2Dc,1613,4.6,-,-,-
124904,sourcing_tripadvisor,sourcing_tripadvisor,McDonald's,Fast Food,,Croatia,OSI,Zhupanijska Ulica 7,45.56015,18.67671,+385 31 214 507,4.5,17,,,,,ChIJbzpNW6jnXEcRrnEriY_5abQ,2272,4.4,-,-,-
124905,sourcing_tripadvisor,sourcing_tripadvisor,Mr. CinkOs,Cafe,,Croatia,OSI,Ulica Stjepana Radica 30,45.556591,18.68248,+385 97 720 9902,4.5,6,,,,Sun|5:00 PM - 11:00 PM|Mon - Sat|10:00 AM - 11:00 PM,ChIJCb7-b6_nXEcR7dFFw1tob4E,930,4.6,-,-,-
124906,sourcing_tripadvisor,sourcing_tripadvisor,Mr. Jack grill house & bar,"European, Croatian",,Croatia,OSI,Zrinjevac 0,45.555481,18.67873,+385 31 290 551,4.5,3,,,,,ChIJIbNNRt3nXEcRsMPv31Ja2Fs,53,4.4,-,-,-
124907,sourcing_tripadvisor,sourcing_tripadvisor,National Restaurant Gradski Podrum,"Barbecue, Grill",,Croatia,OSI,Zhupanijska Ulica 8,45.558701,18.67577,+385 31 250 450,5,4,,,,Fri - Sat|11:00 AM - 11:00 PM,ChIJ-7qkcqjnXEcRi_58qM3BWIs,10,3.9,-,-,-
124908,sourcing_tripadvisor,sourcing_tripadvisor,Ober Lunch Bar,"European, Croatian",,Croatia,OSI,"Ivana Adamovica 2, 31000 Osijek",45.56041,18.68189,+385 91 203 1116,4.5,7,,,,Mon - Sat|9:00 AM - 6:00 PM,ChIJt3MBfabnXEcRZRU2gmG1QS4,126,4.5,-,-,-
124909,sourcing_tripadvisor,sourcing_tripadvisor,Old Bridge Pub,"European, Croatian",,Croatia,OSI,Kuhaceva 4,45.562031,18.679991,+385 31 211 611,4,11,,,,,-,-,-,-,-,-
124910,sourcing_tripadvisor,sourcing_tripadvisor,Petar Pan,,,Croatia,OSI,Ribarska 1,45.562462,18.67655,+385 31 283 626,4,17,,,,,ChIJSedodejgXEcRTiR2ryUWtjk,1587,4.5,-,-,-
124911,sourcing_tripadvisor,sourcing_tripadvisor,Pivnica Merlon,,,Croatia,OSI,Ulica Franje Markovica 3,45.559952,18.69516,+385 31 283 240,4,53,,,,Sun|9:00 AM - 11:00 PM|Mon - Wed|8:00 AM - 12:00 AM|Thu|8:00 AM - 1:00 AM|Fri - Sat|8:00 AM - 2:00 AM,ChIJmxed5rvnXEcRThaf9YXyTS4,1576,4.5,-,-,-
124912,sourcing_tripadvisor,sourcing_tripadvisor,Pizza Grill caffe Hamby,"European, Croatian",,Croatia,OSI,Dr. Franje Tudmana 1 Koska,,,+385 31 681 580,5,2,,,,Mon - Fri|6:00 AM - 11:00 PM|Sat - Sun|6:00 AM - 12:00 AM,-,-,-,-,-,-
124913,sourcing_tripadvisor,sourcing_tripadvisor,Pizzeria La Rosa,"Italian, Cafe, European, Street Food, Croatian",,Croatia,OSI,Martina Divalta 22,45.548969,18.696659,+385 31 570 500,5,2,,,,,ChIJ7Zt1b8rnXEcRcWkUgd5GQJQ,495,4.6,-,-,-
